"gene"	"accession"	"human"
"SMESG000037742.1"	"GO:0006629"	"PLA2G15"
"SMESG000041607.1"	"GO:0006629"	"EPT1"
"SMESG000043974.1"	"GO:0006629"	"ACER3"
"SMESG000046500.1"	"GO:0006629"	"DAGLB"
"SMESG000050288.1"	"GO:0006629"	"CRYL1"
"SMESG000056169.1"	"GO:0006629"	"SLC29A1"
"SMESG000059050.1"	"GO:0006629"	"PIGW"
"SMESG000063386.1"	"GO:0006629"	"MVK"
"SMESG000066864.1"	"GO:0006629"	"PIGS"
"SMESG000067202.1"	"GO:0006629"	"GPCPD1"
"SMESG000067443.1"	"GO:0006629"	"FDPS"
"SMESG000070097.1"	"GO:0006629"	"AFMID"
"SMESG000071704.1"	"GO:0006629"	NA
"SMESG000074527.1"	"GO:0006629"	"PIGV"
"SMESG000077657.1"	"GO:0006629"	"PDSS2"
"SMESG000078577.1"	"GO:0006629"	"SRD5A1"
"SMESG000078629.1"	"GO:0006629"	"DEGS2"
"SMESG000081190.1"	"GO:0006629"	"PGS1"
